zip-code,population,white-count,white-non-hispanic-count,black-count,native-american-count,asian-count,hawaiian-pacific-count,other-count,two-or-more-count,two-or-more-other-count,two-or-more-not-other-count
92410,46063,27059,3926,4970,404,1290,0,10399,1941,483,1458
92411,26239,16879,732,3696,54,876,0,3771,963,207,756
92501,21707,12838,6393,1415,195,845,34,4908,1472,500,972
92503,94523,53707,24940,3497,479,7397,91,24740,4612,2009,2603
92504,57955,39810,19817,3512,1134,2728,41,8716,2014,567,1447
92505,50110,30830,11619,2489,274,4070,374,9412,2661,1169,1492
92506,45831,35046,24604,2277,300,2331,38,3551,2288,458,1830
92507,58017,33054,14727,4909,366,7135,152,9914,2487,415,2072
92508,39121,23405,16356,3735,192,3830,215,5835,1909,394,1515
92509,81093,42166,18172,2627,1008,2281,177,29461,3373,1448,1925
92518,1065,902,737,32,0,63,0,25,43,9,34
92530,57204,30635,18964,2110,279,1808,26,19596,2750,1046,1704
92532,22770,12363,8974,1253,0,2034,4,4815,2301,584,1717
92536,3013,2722,2313,21,0,0,12,131,127,0,127
92539,4726,3573,3190,1,120,182,39,498,313,16,297
92543,37825,26736,13485,3395,560,614,82,4867,1571,374,1197
92544,47880,37436,24578,2199,987,885,211,3855,2307,330,1977
92545,41738,31886,20078,3188,514,1881,54,2249,1966,664,1302
92548,8256,6655,2994,0,46,24,217,1258,56,37,19
92549,2689,2515,2293,51,22,64,1,14,22,0,22
92551,33980,11531,3988,6344,255,1888,128,13118,716,299,417
92553,74918,27608,8619,12039,409,3683,398,29225,1556,406,1150
92555,43436,17758,8971,7819,193,4166,297,11306,1897,631,1266
92557,51789,23338,12198,8910,316,3118,410,13473,2224,713,1511
92561,1812,1613,1277,13,58,18,0,56,54,23,31
92562,63032,44789,35978,3281,314,4536,331,5110,4671,536,4135
92563,64686,38140,28759,4534,594,7541,507,7267,6103,857,5246
92567,10003,7054,3742,73,27,287,21,2285,256,33,223
92570,60349,23478,11121,4610,578,842,1,29656,1184,533,651
92571,55814,16691,5514,5985,370,2424,20,28783,1541,444,1097
92582,16437,11264,5403,903,158,973,0,2024,1115,335,780
92583,32682,21435,10669,2144,1110,734,127,5751,1381,495,886
92584,51523,33208,24984,3998,565,3393,265,6129,3965,972,2993
92585,21077,12510,7714,1634,49,1036,91,4547,1210,386,824
92586,20186,15544,12255,1264,100,943,32,1762,541,54,487
92587,17095,13207,11235,110,14,450,9,3019,286,50,236
92590,4090,2511,1995,49,36,283,0,967,244,81,163
92591,40601,28739,22086,2598,135,2591,31,3609,2898,853,2045
92592,82551,58194,46120,3742,705,8078,423,5861,5548,1098,4450
92595,32647,23200,16196,1676,302,1447,269,4628,1125,399,726
92596,28039,18693,13266,1733,161,2790,114,2808,1740,304,1436
92602,26351,10176,8788,375,0,12322,116,816,2546,134,2412
92603,20741,11525,10428,151,11,7725,0,192,1137,140,997
92604,28656,15677,13384,325,94,9875,16,952,1717,126,1591
92606,23895,11347,9789,696,0,9592,222,792,1246,199,1047
92610,12025,7965,6846,231,53,3021,12,147,596,49,547
92612,32083,16751,14934,850,0,12138,7,1148,1189,96,1093
92614,25271,13975,11818,349,24,9176,23,401,1323,108,1215
92617,17232,8768,6465,354,36,5910,23,1258,883,169,714
92618,34704,17239,15630,910,20,14558,7,575,1395,102,1293
92620,48752,17725,16341,1127,147,26037,60,1391,2265,400,1865
92624,6314,5446,4591,167,27,233,0,259,182,27,155
92625,12323,10728,10152,95,48,734,19,313,386,98,288
92626,51251,37629,26623,1434,199,7203,438,2292,2056,328,1728
92627,62184,42451,29615,401,282,2551,552,13718,2229,663,1566
92629,27063,22409,20605,358,62,919,0,2423,892,152,740
92630,62230,41465,32540,1419,910,8971,120,6672,2673,374,2299
92637,16314,13023,12382,69,9,2986,0,50,177,65,112
92646,55869,43649,39259,498,138,6294,258,2201,2831,412,2419
92647,62141,42001,31771,1386,555,7797,214,7254,2934,436,2498
92648,47424,37109,31922,495,85,5303,194,2139,2099,440,1659
92649,34276,26136,22919,355,142,4453,104,1210,1876,185,1691
92651,24828,22016,20466,201,33,1272,92,485,729,25,704
92653,29554,20961,17333,484,184,4239,153,2011,1522,395,1127
92655,8846,2889,1097,24,20,4725,137,881,170,0,170
92656,52372,36627,31468,1150,396,8024,32,2544,3599,840,2759
92657,9947,7593,7151,0,31,1647,0,75,601,18,583
92660,36406,31747,29848,308,38,3088,18,450,757,208,549
92661,3426,3106,2903,0,0,34,10,49,227,18,209
92662,2799,2752,2695,11,0,27,0,0,9,0,9
92663,21657,18970,17700,133,87,932,65,810,660,117,543
92672,34671,27574,24658,161,44,928,88,4415,1461,494,967
92673,30537,25473,23077,277,85,1513,413,1081,1695,366,1329
92675,36686,25390,21065,194,183,1257,68,8394,1200,326,874
92676,2088,1869,1642,17,15,79,0,21,87,19,68
92677,66077,50189,44090,1331,401,6506,126,3562,3962,763,3199
92678,518,440,418,1,0,31,0,46,0,0,0
92679,32738,27284,24199,352,102,3078,60,513,1349,157,1192
92683,91758,36717,22466,832,654,44028,199,5892,3436,588,2848
92688,45062,34045,27431,1127,114,5705,46,1754,2271,506,1765
92691,50287,39881,33185,673,186,4976,98,1962,2511,294,2217
92692,48485,37915,32675,885,103,5456,33,1567,2526,281,2245
92694,27582,21943,18267,510,0,3173,64,516,1376,115,1261
92701,51732,28921,3043,421,275,2227,145,18964,779,330,449
92703,71963,15802,3470,655,262,11617,91,42566,970,413,557
92704,90525,39708,7983,859,288,16069,191,32018,1392,454,938
92705,46833,33983,22085,706,509,4545,9,5502,1579,407,1172
92706,35276,12857,5837,321,371,3294,134,17400,899,344,555
92707,62408,35187,5944,682,331,4382,354,20799,673,207,466
92708,57779,31974,26486,288,173,18722,93,3899,2630,473,2157
92780,61615,28332,18451,1778,236,9327,244,18927,2771,654,2117
