GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US90717,90717,ZCTA5 90717,21740,392
8600000US90720,90720,ZCTA5 90720,22318,454
8600000US90723,90723,ZCTA5 90723,55020,58
8600000US90731,90731,ZCTA5 90731,61789,1740
8600000US90732,90732,ZCTA5 90732,22408,1177
8600000US90740,90740,ZCTA5 90740,24443,141
8600000US90742,90742,ZCTA5 90742,705,113
8600000US90743,90743,ZCTA5 90743,248,82
8600000US90744,90744,ZCTA5 90744,56779,1225
8600000US90745,90745,ZCTA5 90745,57219,1000
8600000US90746,90746,ZCTA5 90746,26852,1008
8600000US90747,90747,ZCTA5 90747,0,12
8600000US90755,90755,ZCTA5 90755,11581,92
8600000US90802,90802,ZCTA5 90802,40226,1132
8600000US90803,90803,ZCTA5 90803,32116,1087
8600000US90804,90804,ZCTA5 90804,40225,1344
8600000US90805,90805,ZCTA5 90805,96069,1963
8600000US90806,90806,ZCTA5 90806,42587,1315
8600000US90807,90807,ZCTA5 90807,32395,1065
8600000US90808,90808,ZCTA5 90808,38487,941
8600000US90810,90810,ZCTA5 90810,38769,1266
8600000US90813,90813,ZCTA5 90813,60935,1616
8600000US90814,90814,ZCTA5 90814,18175,914
8600000US90815,90815,ZCTA5 90815,40359,907
8600000US90822,90822,ZCTA5 90822,143,123
8600000US90831,90831,ZCTA5 90831,0,12
8600000US91001,91001,ZCTA5 91001,37528,1312
8600000US91006,91006,ZCTA5 91006,33200,1013
8600000US91007,91007,ZCTA5 91007,34357,899
8600000US91008,91008,ZCTA5 91008,1191,139
8600000US91010,91010,ZCTA5 91010,26265,538
8600000US91011,91011,ZCTA5 91011,20499,63
8600000US91016,91016,ZCTA5 91016,42013,842
8600000US91020,91020,ZCTA5 91020,8551,907
8600000US91024,91024,ZCTA5 91024,11061,54
8600000US91030,91030,ZCTA5 91030,25940,62
8600000US91040,91040,ZCTA5 91040,20175,1049
8600000US91042,91042,ZCTA5 91042,26767,1151
8600000US91046,91046,ZCTA5 91046,160,69
8600000US91101,91101,ZCTA5 91101,20719,862
8600000US91103,91103,ZCTA5 91103,28435,1165
8600000US91104,91104,ZCTA5 91104,39178,1180
8600000US91105,91105,ZCTA5 91105,11907,811
