GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US90020,90020,ZCTA5 90020,39191,1252,10023,1083,1924,444,290,209,18859,1094,344,308,6605,982,1146,362,195,108,951,337
8600000US90021,90021,ZCTA5 90021,3158,427,1182,260,712,236,33,55,52,21,0,12,1009,306,170,60,44,55,126,48
8600000US90022,90022,ZCTA5 90022,67446,1783,37967,2451,199,108,690,344,860,310,23,29,26707,2134,1000,360,604,311,396,161
8600000US90023,90023,ZCTA5 90023,47229,1391,31978,1880,459,208,368,232,443,164,0,26,13315,1216,666,218,435,187,231,127
8600000US90024,90024,ZCTA5 90024,49718,1528,29866,1211,1040,271,82,69,14393,1073,26,32,1572,517,2739,393,93,63,2646,383
8600000US90025,90025,ZCTA5 90025,47453,1511,29585,1329,1469,477,765,649,9799,964,35,39,2991,817,2809,501,197,101,2612,463
8600000US90026,90026,ZCTA5 90026,68609,1482,35056,1580,2734,505,1176,498,11230,892,98,73,15639,1669,2676,437,948,270,1728,316
8600000US90027,90027,ZCTA5 90027,45616,1322,30666,1152,1129,249,51,60,5892,515,80,62,5944,809,1854,297,432,153,1422,235
8600000US90028,90028,ZCTA5 90028,31054,1120,17480,1034,2797,592,208,179,2976,629,59,73,6057,821,1477,318,264,151,1213,291
8600000US90029,90029,ZCTA5 90029,38843,1198,14832,1260,1124,268,96,67,6846,662,100,78,14780,1095,1065,232,296,136,769,237
8600000US90031,90031,ZCTA5 90031,39103,1241,14204,1296,359,164,428,249,9246,678,48,43,13694,1339,1124,361,340,210,784,347
8600000US90032,90032,ZCTA5 90032,47766,1336,20915,1375,733,197,512,231,4684,570,47,59,19669,1684,1206,260,786,227,420,140
8600000US90033,90033,ZCTA5 90033,48841,1567,34717,1645,797,218,309,163,2563,542,24,24,9682,1305,749,312,515,276,234,117
8600000US90034,90034,ZCTA5 90034,56070,1661,32939,1448,5495,683,209,79,10419,857,203,129,4123,707,2682,471,823,289,1859,342
8600000US90035,90035,ZCTA5 90035,29920,1159,22383,995,2199,452,0,23,2178,406,18,22,1772,568,1370,289,95,64,1275,271
8600000US90036,90036,ZCTA5 90036,38116,1115,24964,1061,1865,461,75,58,7453,753,92,79,2005,469,1662,406,157,90,1505,403
8600000US90037,90037,ZCTA5 90037,63238,2252,20313,1637,11420,1042,584,294,648,238,0,29,28959,1791,1314,383,588,220,726,308
8600000US90038,90038,ZCTA5 90038,27957,1125,11555,904,1606,334,156,105,1443,300,0,23,12106,957,1091,266,453,174,638,214
8600000US90039,90039,ZCTA5 90039,29092,920,17255,959,456,196,370,258,4914,530,66,69,4655,837,1376,365,185,108,1191,344
8600000US90040,90040,ZCTA5 90040,12925,349,9309,731,209,126,229,178,114,144,0,19,2785,638,279,113,72,61,207,106
8600000US90041,90041,ZCTA5 90041,28651,1012,14047,926,383,122,177,143,8495,615,103,118,3664,611,1782,402,582,321,1200,303
8600000US90042,90042,ZCTA5 90042,63788,1880,29633,1832,1677,399,1314,442,8128,634,107,66,20255,1598,2674,563,662,192,2012,524
8600000US90043,90043,ZCTA5 90043,44571,1636,8726,957,26750,1227,191,154,548,238,48,52,7169,927,1139,330,204,95,935,286
8600000US90044,90044,ZCTA5 90044,94680,2482,25246,1657,32579,1719,437,182,467,221,8,12,34432,1800,1511,473,287,134,1224,471
8600000US90045,90045,ZCTA5 90045,41420,1245,24693,1062,5494,877,127,78,5826,718,64,58,2452,575,2764,461,325,135,2439,454
8600000US90046,90046,ZCTA5 90046,51615,1052,40771,1033,2680,561,115,83,3344,614,59,61,2110,463,2536,461,442,155,2094,456
8600000US90047,90047,ZCTA5 90047,48491,2141,7931,1201,31267,1790,190,158,402,248,115,123,7659,1198,927,289,239,173,688,228
8600000US90048,90048,ZCTA5 90048,22860,974,18360,1047,704,253,33,42,1881,352,12,17,744,271,1126,299,300,156,826,238
8600000US90049,90049,ZCTA5 90049,36362,1000,30773,1094,520,229,67,81,3168,509,0,26,351,134,1483,252,112,73,1371,254
8600000US90056,90056,ZCTA5 90056,8014,695,1426,306,5618,741,0,17,421,200,0,17,37,47,512,240,41,50,471,230
8600000US90057,90057,ZCTA5 90057,49389,1810,15077,1365,2340,373,500,301,9648,709,133,130,20782,1816,909,229,322,144,587,199
8600000US90058,90058,ZCTA5 90058,3189,974,1760,965,205,89,0,12,42,49,11,19,1154,469,17,25,5,8,12,21
8600000US90059,90059,ZCTA5 90059,47351,2231,17291,1758,14700,1456,197,125,279,208,71,107,13977,1552,836,333,410,241,426,228
8600000US90061,90061,ZCTA5 90061,28003,1605,10305,1299,9105,723,140,132,79,66,11,18,7795,1248,568,282,265,191,303,191
8600000US90062,90062,ZCTA5 90062,33627,1565,6719,1195,11039,1067,140,168,428,211,43,49,14538,1665,720,274,316,162,404,198
8600000US90063,90063,ZCTA5 90063,53556,1685,21948,1634,263,145,123,76,713,170,33,37,29749,1796,727,256,434,201,293,135
8600000US90064,90064,ZCTA5 90064,26007,925,18643,887,993,363,125,92,4654,561,39,45,621,228,932,307,141,93,791,296
8600000US90065,90065,ZCTA5 90065,48420,1639,25413,1395,938,320,450,211,7820,569,19,32,11694,1352,2086,457,605,285,1481,347
8600000US90066,90066,ZCTA5 90066,59747,1270,36591,1159,2449,461,1728,623,8488,751,86,60,6359,1209,4046,566,814,278,3232,520
8600000US90067,90067,ZCTA5 90067,2235,250,1582,308,17,29,0,12,540,135,30,46,25,41,41,51,0,12,41,51
8600000US90068,90068,ZCTA5 90068,21726,940,17397,919,680,214,61,60,1550,341,9,16,778,220,1251,300,208,122,1043,249
8600000US90069,90069,ZCTA5 90069,20401,872,15839,872,706,279,48,45,1532,410,68,76,999,342,1209,347,155,96,1054,306
8600000US90071,90071,ZCTA5 90071,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US90073,90073,ZCTA5 90073,944,386,455,230,323,183,4,9,80,54,0,12,39,58,43,38,0,12,43,38
8600000US90077,90077,ZCTA5 90077,8936,737,7398,679,247,189,0,17,825,238,0,17,120,80,346,160,83,70,263,136
8600000US90079,90079,ZCTA5 90079,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US90089,90089,ZCTA5 90089,3846,436,1922,273,244,99,0,12,1234,231,26,21,249,87,171,62,32,25,139,62
8600000US90090,90090,ZCTA5 90090,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US90094,90094,ZCTA5 90094,8568,932,4654,629,944,388,0,17,2237,586,0,17,228,169,505,192,139,148,366,166
8600000US90095,90095,ZCTA5 90095,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US90201,90201,ZCTA5 90201,102878,74,79758,1743,894,340,459,173,844,300,124,127,19432,1816,1367,353,752,244,615,242
8600000US90210,90210,ZCTA5 90210,20016,1106,17098,1009,188,110,15,20,1680,537,0,23,291,190,744,314,133,125,611,290
8600000US90211,90211,ZCTA5 90211,8019,488,6464,520,170,163,0,17,939,212,0,17,209,152,237,92,12,17,225,91
8600000US90212,90212,ZCTA5 90212,13207,770,10739,847,181,107,14,23,1351,457,0,19,136,95,786,311,133,143,653,284
8600000US90220,90220,ZCTA5 90220,51713,1392,18601,1533,19167,1030,208,132,457,231,203,217,12061,1103,1016,267,562,204,454,183
8600000US90221,90221,ZCTA5 90221,54259,1606,24113,1714,11335,1171,293,215,449,301,0,29,17085,1496,984,262,513,189,471,174
8600000US90222,90222,ZCTA5 90222,32585,1576,13525,1554,8884,825,172,210,260,142,217,282,9168,1305,359,134,204,109,155,85
8600000US90230,90230,ZCTA5 90230,32657,920,19964,1136,2520,642,124,74,5553,522,91,115,2787,600,1618,376,205,140,1413,334
8600000US90232,90232,ZCTA5 90232,14865,683,9973,746,934,310,1,4,2293,331,0,19,860,381,804,203,53,53,751,200
8600000US90240,90240,ZCTA5 90240,26339,1115,18444,1460,730,521,43,47,1930,397,0,23,4571,998,621,330,319,278,302,158
8600000US90241,90241,ZCTA5 90241,44097,1481,29110,2123,1046,341,124,79,3023,569,38,36,9154,1506,1602,460,802,327,800,278
8600000US90242,90242,ZCTA5 90242,42922,1472,23945,1566,2328,494,149,131,3457,651,489,377,11611,1428,943,235,587,185,356,146
8600000US90245,90245,ZCTA5 90245,16929,56,12844,527,296,158,82,67,1530,261,54,68,717,296,1406,374,162,138,1244,344
8600000US90247,90247,ZCTA5 90247,47969,1135,12318,1231,8711,731,164,108,11825,761,39,40,13554,1284,1358,238,265,132,1093,216
8600000US90248,90248,ZCTA5 90248,10899,668,3506,573,1633,349,36,34,3569,350,43,37,1861,485,251,110,107,73,144,81
8600000US90249,90249,ZCTA5 90249,26286,1259,6678,787,7463,762,337,367,3956,434,740,650,5641,1060,1471,387,234,169,1237,353
8600000US90250,90250,ZCTA5 90250,97371,1174,32811,1792,21605,970,435,215,7358,915,758,444,25495,1858,8909,1170,889,334,8020,1125
8600000US90254,90254,ZCTA5 90254,19750,28,16938,521,236,172,198,125,1191,338,0,19,271,104,916,280,136,132,780,239
8600000US90255,90255,ZCTA5 90255,75636,868,47619,1894,804,325,403,437,548,268,160,196,25277,1832,825,285,355,199,470,193
8600000US90260,90260,ZCTA5 90260,35614,660,15962,1298,3440,768,141,138,4113,559,393,320,8633,1155,2932,643,549,203,2383,640
8600000US90262,90262,ZCTA5 90262,71306,129,41003,1986,5859,770,546,286,757,238,240,183,21865,1990,1036,294,432,183,604,256
8600000US90263,90263,ZCTA5 90263,1868,230,968,182,103,58,9,12,550,113,0,12,93,51,145,59,13,19,132,57
8600000US90265,90265,ZCTA5 90265,18119,517,15676,648,359,146,65,78,908,282,7,11,208,93,896,265,44,45,852,257
8600000US90266,90266,ZCTA5 90266,35698,41,28486,584,204,122,71,67,3798,430,0,26,940,355,2199,397,498,247,1701,331
8600000US90270,90270,ZCTA5 90270,27597,127,21699,807,150,90,46,56,50,40,0,23,5488,764,164,100,90,81,74,62
8600000US90272,90272,ZCTA5 90272,22927,730,20148,779,106,81,21,21,1275,259,2,4,75,48,1300,383,32,30,1268,377
8600000US90274,90274,ZCTA5 90274,25374,319,17393,571,320,171,23,30,6047,536,10,15,410,265,1171,247,151,90,1020,231
8600000US90275,90275,ZCTA5 90275,42606,86,25660,953,834,359,63,80,12253,758,294,251,935,358,2567,471,314,162,2253,453
8600000US90277,90277,ZCTA5 90277,34922,978,27901,1090,784,313,106,79,3169,499,11,16,1226,413,1725,400,176,130,1549,372
8600000US90278,90278,ZCTA5 90278,40808,844,27749,927,1423,570,144,93,5891,555,51,42,2425,569,3125,509,290,177,2835,511
8600000US90280,90280,ZCTA5 90280,95420,35,57835,2379,888,279,486,205,581,207,137,87,33569,2267,1924,533,1052,403,872,307
8600000US90290,90290,ZCTA5 90290,5714,640,5115,586,88,96,24,36,243,110,0,17,72,82,172,110,10,18,162,102
8600000US90291,90291,ZCTA5 90291,27170,917,22510,1061,1563,413,203,160,902,231,15,28,994,430,983,192,116,65,867,177
8600000US90292,90292,ZCTA5 90292,22328,1326,17016,1092,1714,718,0,23,1910,522,97,108,882,367,709,237,159,114,550,223
8600000US90293,90293,ZCTA5 90293,12762,836,8875,610,709,312,65,69,1656,360,0,19,685,286,772,229,45,43,727,220
8600000US90301,90301,ZCTA5 90301,37518,1123,11052,1241,11564,1215,471,295,569,284,64,304,12111,1391,1687,556,442,206,1245,505
8600000US90302,90302,ZCTA5 90302,30892,1039,8987,1021,14269,1152,297,216,439,152,35,59,5537,820,1328,446,314,209,1014,454
8600000US90303,90303,ZCTA5 90303,24658,982,6403,856,8570,619,104,60,294,181,0,23,8473,955,814,271,100,69,714,265
8600000US90304,90304,ZCTA5 90304,25937,993,11587,1117,876,408,259,217,702,314,0,23,11939,1162,574,293,287,200,287,222
8600000US90305,90305,ZCTA5 90305,15574,1117,1929,1073,11962,829,0,19,154,90,73,84,1121,435,335,188,5,10,330,188
8600000US90401,90401,ZCTA5 90401,7485,548,5788,534,504,345,31,36,681,236,21,34,106,85,354,167,0,17,354,167
8600000US90402,90402,ZCTA5 90402,11681,682,10071,641,122,91,0,19,963,206,0,19,90,98,435,184,40,48,395,194
8600000US90403,90403,ZCTA5 90403,24764,815,20206,852,534,296,223,300,2301,345,45,68,322,153,1133,242,113,83,1020,228
8600000US90404,90404,ZCTA5 90404,22586,716,14839,778,1819,350,24,26,2776,444,27,26,1823,610,1278,281,237,127,1041,270
8600000US90405,90405,ZCTA5 90405,28305,871,21960,915,979,374,73,60,2654,375,0,23,863,359,1776,440,123,113,1653,427
8600000US90501,90501,ZCTA5 90501,43008,1204,16155,1227,2904,707,229,144,10700,832,277,292,9581,1327,3162,715,1159,442,2003,496
8600000US90502,90502,ZCTA5 90502,18010,808,5920,838,1344,421,64,50,6172,564,45,58,3612,781,853,296,83,61,770,287
8600000US90503,90503,ZCTA5 90503,45349,952,21188,884,935,342,148,78,18421,899,384,355,1442,489,2831,741,637,293,2194,620
8600000US90504,90504,ZCTA5 90504,33422,1002,13475,1009,1178,398,271,259,13028,818,95,88,2581,546,2794,483,843,322,1951,420
8600000US90505,90505,ZCTA5 90505,37368,868,20086,930,700,252,73,57,13196,841,96,111,1091,317,2126,390,323,192,1803,342
8600000US90506,90506,ZCTA5 90506,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US90601,90601,ZCTA5 90601,34025,1251,17410,1043,493,213,247,150,2298,370,0,26,12501,1540,1076,278,639,243,437,150
8600000US90602,90602,ZCTA5 90602,26482,1075,12886,1003,503,222,62,32,1050,271,37,47,11495,1085,449,163,217,111,232,103
8600000US90603,90603,ZCTA5 90603,20697,788,13785,1110,252,169,29,33,1020,289,32,45,4646,850,933,319,417,265,516,210
8600000US90604,90604,ZCTA5 90604,41369,1440,22531,1334,340,209,214,131,2339,428,36,36,14183,1554,1726,367,869,298,857,230
8600000US90605,90605,ZCTA5 90605,41818,1311,21849,1571,410,168,446,246,1926,482,33,39,15977,1564,1177,374,474,246,703,276
8600000US90606,90606,ZCTA5 90606,32599,1326,14990,1126,349,172,669,277,667,312,54,57,14691,1446,1179,448,991,442,188,107
8600000US90620,90620,ZCTA5 90620,46038,1319,26152,1665,873,339,482,407,13656,1180,435,446,2339,643,2101,510,491,200,1610,459
8600000US90621,90621,ZCTA5 90621,36074,1328,17726,1426,1753,683,191,114,10382,948,264,250,4735,1002,1023,340,429,237,594,255
8600000US90623,90623,ZCTA5 90623,15882,138,6443,589,861,275,96,96,7407,613,129,155,284,171,662,182,178,106,484,186
8600000US90630,90630,ZCTA5 90630,49249,249,27123,983,1973,659,288,170,16153,750,187,99,1476,340,2049,400,408,190,1641,345
8600000US90631,90631,ZCTA5 90631,69579,392,42318,1718,752,253,466,208,8829,805,37,46,14297,1362,2880,519,1226,368,1654,364
8600000US90638,90638,ZCTA5 90638,49797,301,26669,1112,1137,375,299,182,9516,728,47,35,8927,1091,3202,471,1151,385,2051,440
8600000US90640,90640,ZCTA5 90640,63547,121,37773,1199,985,367,508,222,8350,658,68,82,14175,1108,1688,453,815,312,873,334
8600000US90650,90650,ZCTA5 90650,106404,59,51775,2462,4279,678,700,345,14477,1141,235,134,31879,2462,3059,551,1356,369,1703,373
8600000US90660,90660,ZCTA5 90660,63694,102,35518,1693,628,240,594,277,2006,494,50,51,23667,1745,1231,346,779,284,452,161
8600000US90670,90670,ZCTA5 90670,16642,216,8928,852,704,307,253,114,845,245,0,19,5240,815,672,212,333,173,339,163
8600000US90680,90680,ZCTA5 90680,30530,814,17358,1234,397,131,336,295,8370,841,160,197,3070,663,839,247,316,166,523,174
8600000US90701,90701,ZCTA5 90701,16912,100,6199,776,693,549,86,95,6222,653,27,41,2885,741,800,347,415,262,385,189
8600000US90703,90703,ZCTA5 90703,50877,491,11493,906,3634,554,150,134,30705,789,215,173,2551,617,2129,408,769,337,1360,276
8600000US90704,90704,ZCTA5 90704,3940,78,2785,395,15,28,10,16,2,5,1,3,738,388,389,250,0,12,389,250
8600000US90706,90706,ZCTA5 90706,77852,92,25029,1362,10329,1189,345,161,10419,809,325,342,28050,1619,3355,634,1675,470,1680,400
8600000US90710,90710,ZCTA5 90710,28667,1132,10813,932,3874,472,159,110,5840,705,461,327,5618,856,1902,512,226,89,1676,489
8600000US90712,90712,ZCTA5 90712,31471,865,16234,948,2970,479,194,102,5238,730,591,457,4237,752,2007,397,585,218,1422,342
8600000US90713,90713,ZCTA5 90713,28927,719,18265,807,1402,438,51,38,3616,459,537,372,3181,645,1875,433,527,218,1348,368
8600000US90715,90715,ZCTA5 90715,20313,703,7002,703,1696,443,168,99,5873,638,96,123,4580,530,898,272,387,216,511,188
8600000US90716,90716,ZCTA5 90716,14409,67,4427,803,790,328,37,71,1508,326,21,35,7281,831,345,193,248,175,97,82
8600000US90717,90717,ZCTA5 90717,21740,392,12714,690,940,300,169,131,3581,436,48,59,2450,538,1838,455,400,225,1438,392
8600000US90720,90720,ZCTA5 90720,22318,454,16175,830,565,247,78,71,2514,344,70,55,1210,358,1706,432,322,150,1384,396
8600000US90723,90723,ZCTA5 90723,55020,58,29717,1362,4983,763,471,287,1761,480,539,343,16087,1320,1462,438,684,247,778,324
8600000US90731,90731,ZCTA5 90731,61789,1740,35053,1615,4356,658,371,192,3124,621,206,171,13377,1578,5302,826,1392,423,3910,747
8600000US90732,90732,ZCTA5 90732,22408,1177,15665,1026,932,335,35,39,2445,391,68,57,1483,549,1780,433,540,282,1240,349
8600000US90740,90740,ZCTA5 90740,24443,141,19569,598,347,135,54,38,2453,361,40,50,712,291,1268,371,217,119,1051,354
8600000US90742,90742,ZCTA5 90742,705,113,628,112,0,12,23,24,37,34,0,12,6,9,11,17,0,12,11,17
8600000US90743,90743,ZCTA5 90743,248,82,233,83,6,9,0,12,0,12,9,14,0,12,0,12,0,12,0,12
8600000US90744,90744,ZCTA5 90744,56779,1225,30274,1794,1193,274,3185,647,1589,390,133,113,18373,1411,2032,380,1062,320,970,278
8600000US90745,90745,ZCTA5 90745,57219,1000,17825,1426,4481,586,537,303,21347,968,1311,507,9229,1366,2489,449,794,241,1695,365
8600000US90746,90746,ZCTA5 90746,26852,1008,4692,598,16378,1157,153,137,2037,414,114,127,1383,420,2095,742,155,131,1940,746
8600000US90747,90747,ZCTA5 90747,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US90755,90755,ZCTA5 90755,11581,92,6225,699,1236,419,24,38,3002,563,73,69,565,370,456,203,114,95,342,192
8600000US90802,90802,ZCTA5 90802,40226,1132,23112,1315,6507,846,602,362,3692,642,333,162,4071,865,1909,366,347,129,1562,342
8600000US90803,90803,ZCTA5 90803,32116,1087,25947,995,1327,371,116,91,2525,553,88,68,791,261,1322,254,199,107,1123,239
8600000US90804,90804,ZCTA5 90804,40225,1344,23693,1544,4792,592,405,292,6100,805,115,178,3476,632,1644,394,520,209,1124,321
8600000US90805,90805,ZCTA5 90805,96069,1963,27929,2009,18773,1245,740,383,10113,903,1431,465,33085,2303,3998,731,1574,516,2424,524
8600000US90806,90806,ZCTA5 90806,42587,1315,18971,1361,6705,805,729,406,8739,920,449,265,5640,1049,1354,369,454,221,900,245
8600000US90807,90807,ZCTA5 90807,32395,1065,16171,939,4972,712,138,141,5128,723,191,204,3770,572,2025,429,394,165,1631,409
8600000US90808,90808,ZCTA5 90808,38487,941,27807,992,2300,749,418,198,3722,636,180,146,1769,613,2291,441,314,103,1977,417
8600000US90810,90810,ZCTA5 90810,38769,1266,15398,1145,4937,658,369,259,8881,1034,1703,769,5457,955,2024,508,407,160,1617,461
8600000US90813,90813,ZCTA5 90813,60935,1616,30845,1603,7156,860,1846,604,8288,1054,217,183,9986,1411,2597,476,617,197,1980,421
8600000US90814,90814,ZCTA5 90814,18175,914,12801,900,1734,305,122,70,1466,471,13,21,966,376,1073,288,178,124,895,263
8600000US90815,90815,ZCTA5 90815,40359,907,29337,915,2291,524,261,118,5072,511,58,41,1271,336,2069,432,140,64,1929,426
8600000US90822,90822,ZCTA5 90822,143,123,62,48,18,24,0,12,18,33,0,12,4,8,41,67,0,12,41,67
8600000US90831,90831,ZCTA5 90831,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US91001,91001,ZCTA5 91001,37528,1312,18529,908,9820,1001,158,197,2008,379,57,73,4877,878,2079,407,170,84,1909,399
8600000US91006,91006,ZCTA5 91006,33200,1013,9993,794,323,243,75,59,19720,926,104,101,1665,480,1320,461,554,395,766,259
8600000US91007,91007,ZCTA5 91007,34357,899,9327,746,561,246,131,114,21235,1159,28,45,2176,649,899,183,120,83,779,179
8600000US91008,91008,ZCTA5 91008,1191,139,670,130,26,19,13,17,442,89,0,12,15,10,25,15,4,5,21,14
8600000US91010,91010,ZCTA5 91010,26265,538,14496,1018,2076,448,142,115,4188,504,15,26,4039,875,1309,378,649,338,660,217
8600000US91011,91011,ZCTA5 91011,20499,63,12856,485,39,36,0,23,6173,442,0,23,383,166,1048,243,220,169,828,230
8600000US91016,91016,ZCTA5 91016,42013,842,28187,1470,2058,532,225,152,5747,563,83,94,3897,948,1816,436,238,141,1578,411
8600000US91020,91020,ZCTA5 91020,8551,907,5410,679,163,118,43,47,1862,644,21,33,627,573,425,241,213,220,212,112
8600000US91024,91024,ZCTA5 91024,11061,54,8843,439,152,86,33,28,1230,271,26,41,253,242,524,245,167,181,357,182
8600000US91030,91030,ZCTA5 91030,25940,62,14206,620,830,321,56,66,7574,567,20,31,1640,379,1614,329,178,90,1436,326
8600000US91040,91040,ZCTA5 91040,20175,1049,16456,1063,347,177,77,92,1887,327,0,23,781,252,627,246,172,104,455,213
8600000US91042,91042,ZCTA5 91042,26767,1151,20726,1087,463,212,103,101,1763,349,154,215,2641,623,917,299,159,117,758,256
8600000US91046,91046,ZCTA5 91046,160,69,104,30,0,12,0,12,33,54,23,36,0,12,0,12,0,12,0,12
8600000US91101,91101,ZCTA5 91101,20719,862,11508,874,1432,361,97,151,4678,491,36,38,2124,687,844,225,197,118,647,209
8600000US91103,91103,ZCTA5 91103,28435,1165,12148,1281,5051,588,66,66,2138,279,14,23,8187,1035,831,220,203,104,628,188
8600000US91104,91104,ZCTA5 91104,39178,1180,22925,1144,4508,652,93,96,3881,893,120,124,6008,921,1643,425,292,131,1351,388
