zip-code,income
92108,69008
92109,72945
92110,65211
92111,65098
92113,33125
92114,61430
92115,47536
92116,64959
92117,71472
92118,99641
92119,79121
92120,88202
92121,103953
92122,76872
92123,73272
92124,86068
92126,92061
92127,127227
92128,94925
92129,120279
92130,141926
92131,125035
92132,-
92134,-
92135,-
92139,60656
92140,-
92145,141691
92147,-
92154,63638
92155,-
92173,38911
92201,42329
92203,67878
92210,103365
92211,60531
92220,40055
92222,-
92223,68739
92225,39288
92227,44127
92230,34615
92231,37703
92233,35347
92234,43423
92236,34463
92239,53750
92240,35879
92241,30658
92242,29714
92243,43842
92249,46786
92250,51758
92251,83909
92252,38405
92253,78228
92254,26830
92256,49563
92257,17694
92258,-
92259,30114
92260,53750
92262,47840
92264,47679
92266,27663
92267,-
92268,39234
92270,64754
92273,26071
92274,29330
92275,30259
92276,41302
92277,39466
92278,51528
92280,-
92281,35536
92282,35754
92283,27000
92284,42723
92285,28650
92301,33919
92304,-
92305,63594
92307,56579
92308,45585
92309,38977
92310,50621
92311,41757
92313,65565
92314,51333
92315,50047
92316,53648
92320,49619
92321,73311
92322,35179
92324,48578
92325,57118
92327,35905
92328,29605
92332,-
92333,72109
92335,47226
92336,87744
92337,76046
92338,-
92339,65167
92341,-
92342,72872
92344,80230
92345,46696
92346,60732
92347,43750
92352,73875
92354,54877
92356,27708
92358,41635
92359,56590
92363,34159
92364,-
92365,54630
92368,33300
92371,53545
92372,52206
92373,65403
92374,67606
92376,50359
92377,77094
92378,76538
92382,59547
92384,-
92385,41635
92386,30455
92389,26094
92391,48063
92392,58063
92394,48730
92395,43395
92397,62118
92398,61055
92399,58570
92401,23043
92404,42051
92405,38762
92407,56819
92408,38949
92410,27383
92411,37266
92501,55192
92503,62998
92504,60211
92505,62232
92506,87190
92507,44912
92508,103942
92509,63719
92518,67365
92530,51922
92532,84173
92536,55433
92539,42598
92543,31447
92544,46375
92545,44166
92548,41332
92549,64068
92551,54955
92553,48329
92555,81104
92557,67121
92561,80964
92562,81500
92563,86580
92567,61023
92570,47696
92571,56921
92582,61667
92583,41169
92584,85527
92585,65188
92586,36887
92587,71838
92590,69643
92591,77234
92592,99049
92595,69805
92596,97713
92602,103367
92603,120915
92604,97901
92606,92554
92610,128050
92612,75556
92614,93410
92617,41361
92618,103758
92620,102815
92624,100132
92625,139561
92626,85662
92627,64454
92629,90078
92630,87059
92637,40837
92646,94205
92647,77761
92648,91410
92649,91398
92651,120302
92653,101327
92655,41923
92656,105964
92657,215000
92660,118971
92661,102279
92662,97591
92663,102017
92672,77733
92673,144331
92675,82532
92676,100282
92677,98743
92678,81354
92679,153053
92683,57546
92688,103215
92691,106581
92692,108252
92694,154384
92701,41934
92703,52970
92704,63056
92705,94194
92706,58648
92707,65919
92708,85536
92780,67057
92782,106125
92801,54476
92802,54414
92804,55736
92805,59934
92806,66372
92807,104530
92808,121250
92821,86070
92823,138831
92831,64218
92832,61493
92833,73162
92835,98415
92840,64782
92841,57763
92843,56274
92844,56836
92845,98074
92860,92199
92861,143077
92865,97871
92866,70814
92867,87388
92868,62856
92869,96417
92870,88610
92879,61783
92880,100175
92881,94498
92882,70235
92883,99231
92886,119528
92887,133542
93001,62407
93003,74012
93004,80726
93010,90260
93012,102756
93013,72791
93015,62819
93021,101627
93022,73015
93023,71661
93030,64552
93033,57829
93035,85363
93036,65374
93040,48750
93041,62032
93042,-
93043,86250
93060,56478
93063,86667
93064,-
93065,97485
93066,92417
93067,64904
93101,54360
93103,83342
93105,88671
93108,134667
93109,97759
93110,81375
93111,107577
93117,61892
93201,30000
93202,47753
93203,37191
93204,34638
93205,23684
93206,36224
93207,32778
93208,-
93210,53976
93212,36875
93215,39032
93218,26964
93219,27941
93220,-
93221,51408
93222,60833
93223,37571
93224,51250
93225,40296
93226,64286
93230,54697
93234,25461
93235,29898
93238,62963
93239,54830
93240,35783
93241,35872
93242,40417
93243,38750
93244,54444
93245,54508
93247,33507
93249,34464
93250,35738
93251,43594
93252,33611
93254,44886
93255,23750
93256,29173
93257,39645
93258,22500
93260,38571
93261,25169
93262,-
93263,41173
93265,59556
93266,35761
93267,31959
93268,45128
93270,38322
93271,63424
93272,33995
93274,49209
93276,28542
93277,55680
93280,36565
93283,31071
93285,43846
93286,41070
93287,78750
93291,51054
93292,51556
93301,35561
93304,36388
93305,31608
93306,52512
93307,36886
93308,44410
93309,48742
93311,92188
93312,94308
93313,72169
93314,105414
93401,59160
93402,73158
93405,44464
93410,-
93420,77887
93422,75169
93424,78182
93426,83523
93427,77140
93428,66731
93429,60893
93430,61151
93432,76250
93433,61482
93434,44000
93436,55794
93437,63364
93440,65608
93441,102500
93442,62806
93444,79683
93445,56250
93446,65486
93449,77316
93450,32969
93451,61521
93452,-
93453,50788
93454,57573
93455,78007
93458,49426
93460,92618
93461,58214
93463,76850
93465,80894
93501,33768
93505,45196
93510,92727
93512,42639
93513,57500
93514,55208
93516,42188
93517,49034
93518,32750
93519,-
93522,-
93523,62937
93524,-
93526,46591
93527,71904
93528,-
93529,53482
93530,-
93531,73889
93532,57667
93534,37883
93535,42978
93536,72634
93541,-
93543,41626
93544,50265
93545,41583
93546,63848
93549,44803
93550,39279
93551,87628
93552,60612
93553,58105
93554,26037
93555,60000
93558,26029
93560,55526
93561,63042
93562,33333
93563,83875
93591,44487
93592,-
93601,56455
93602,65136
93603,-
93604,81036
93605,85313
93606,30543
93608,34408
93609,44068
93610,41234
93611,84028
93612,40687
93614,60101
93615,34737
93616,31448
93618,41003
93619,115392
93620,40738
93621,53661
93622,42965
93623,105868
93624,33352
93625,53793
93626,83958
93627,44375
93628,73750
93630,46610
93631,63884
93633,-
93634,-
93635,46967
93636,80179
93637,49937
93638,37682
93640,27771
93641,"2,500-"
93643,53889
93644,49034
93645,-
93646,26434
93647,30987
93648,31653
93650,36106
93651,100952
93652,36750
93653,63125
93654,44151
93656,49530
93657,51209
93660,28500
93662,42027
93664,110833
93665,37299
93666,26932
93667,64856
93668,38162
93669,36667
93673,37031
93675,70275
93701,17371
93702,25517
93703,27873
93704,55918
93705,35009
93706,30176
93710,47723
93711,71028
93720,80223
93721,25056
93722,54137
93723,71861
93725,41288
93726,34295
93727,50781
93728,34887
93730,118487
93901,58092
93905,45962
93906,61192
93907,73226
93908,127070
93920,53125
93921,88065
93923,92778
93924,96458
93925,55729
93926,52298
93927,51987
93928,-
93930,42614
93932,34583
93933,61300
93940,77240
93943,-
93950,81000
93953,130833
93954,57500
93955,57667
93960,54775
93962,90658
94002,125546
94005,109632
94010,135283
94014,85622
94015,86940
94019,119832
94020,92386
94021,-
94022,208984
94024,220970
94025,139833
94027,"250,000+"
94028,244671
94030,109813
94037,104607
94038,136328
94040,120028
94041,121650
94043,118355
94044,106959
94060,-
94061,99230
94062,146450
94063,64720
94065,160313
94066,94657
94070,153291
94074,-
94080,92089
94085,103595
94086,118576
94087,137652
94089,101869
94102,33552
94103,49052
94104,48429
94105,199364
94107,143467
94108,55341
94109,79979
94110,109747
94111,99464
94112,82692
94114,143902
94115,103625
94116,101746
94117,132979
94118,102021
94121,87001
94122,102838
94123,134809
94124,55823
94127,151094
94128,-
94129,190167
94130,52143
94131,119924
94132,72970
94133,66422
94134,71352
94158,133981
94301,146488
94303,98361
94304,103648
94305,61173
94306,125553
94401,81608
94402,140186
94403,112935
94404,134056
94501,81626
94502,122368
94503,91802
94505,114886
94506,186378
94507,202336
94508,80795
94509,58823
94510,95291
94511,36167
94512,-
94513,96827
94514,72875
94515,68603
94516,88500
94517,140361
94518,84896
94519,79390
94520,52082
94521,94637
94523,100889
94525,79886
94526,141761
94528,-
94530,96192
94531,93466
94533,62612
94534,105033
94535,60741
94536,112587
94538,101065
94539,160542
94541,67819
94542,103018
94544,70207
94545,84579
94546,85492
94547,107221
94548,105329
94549,155225
94550,114930
94551,108729
94552,133321
94553,89703
94555,132823
94556,139904
94558,83491
94559,68725
94560,96817
94561,88795
94563,185066
94564,83534
94565,62255
94566,139628
94567,58375
94568,133769
94569,142905
94571,64694
94572,67175
94573,-
94574,83720
94575,-
94576,102188
94577,67686
94578,52419
94579,78054
94580,85021
94582,149859
94583,137719
94585,74155
94586,116250
94587,95625
94588,136734
94589,59558
94590,44689
94591,78628
94592,120125
94595,66638
94596,88527
94597,98343
94598,128299
94599,71667
94601,44666
94602,78347
94603,49793
94605,66211
94606,48421
94607,41870
94608,68352
94609,73765
94610,87059
94611,120601
94612,42880
94613,-
94618,133125
94619,82994
94621,34566
94702,77699
94703,75181
94704,26758
94705,116250
94706,89425
94707,143297
94708,159046
94709,66028
94710,62524
94720,-
94801,48822
94803,82788
94804,51918
94805,75843
94806,56605
94850,-
94901,85889
94903,99071
94904,116469
94920,159423
94922,-
94923,120250
94924,52375
94925,134902
94928,62894
94929,94375
94930,99803
94931,73154
94933,94107
94937,66500
94938,85250
94939,99980
94940,-
94941,133462
94945,93765
94946,108750
94947,97628
94949,83164
94950,67788
94951,95272
94952,82619
94954,86953
94956,66289
94957,243214
94960,123861
94963,106170
94964,-
94965,101947
94970,119934
94971,84737
94972,-
94973,93403
95002,82845
95003,91500
95004,98672
95005,76250
95006,80991
95007,-
95008,106536
95010,69590
95012,54793
95013,51500
95014,150529
95017,70000
95018,96651
95019,38854
95020,90144
95023,82935
95030,180222
95032,129177
95033,147619
95035,110659
95037,108554
95039,39971
95041,55845
95043,73333
95045,62589
95046,110500
95050,84269
95051,113021
95053,-
95054,140890
95060,65237
95062,69472
95064,44444
95065,91957
95066,102924
95070,173739
95073,86169
95075,70893
95076,61211
95110,76250
95111,66549
95112,60569
95113,114539
95116,56299
95117,82279
95118,101780
95119,120071
95120,171908
95121,94818
95122,66606
95123,102599
95124,131250
95125,114386
95126,85489
95127,84239
95128,80916
95129,131976
95130,106477
95131,114675
95132,102868
95133,79043
95134,132891
95135,137067
95136,98340
95138,159311
95139,125855
95140,-
95148,120088
95202,14549
95203,41218
95204,44953
95205,33915
95206,45342
95207,41307
95209,74645
95210,40426
95211,-
95212,82260
95215,45441
95219,81049
95220,65682
95222,51308
95223,57083
95224,19000
95225,-
95226,-
95227,88750
95228,76354
95230,82995
95231,40172
95232,-
95233,50870
95234,-
95236,70809
95237,53646
95240,44499
95242,66626
95245,52829
95246,37917
95247,47235
95248,30903
95249,37034
95250,-
95251,54306
95252,68023
95254,98726
95255,33669
95257,50743
95258,85047
95301,54434
95303,51364
95304,85035
95305,-
95306,44805
95307,51918
95310,38320
95311,46333
95312,39167
95313,45769
95314,-
95315,49651
95316,69750
95317,36771
95318,86250
95319,28861
95320,63873
95321,47781
95322,42358
95323,62125
95324,57870
95325,-
95326,59515
95327,53389
95328,46164
95329,54247
95330,72398
95333,47383
95334,53515
95335,38553
95336,61881
95337,78064
95338,52725
95340,51275
95341,34315
95345,35000
95346,51481
95348,42651
95350,46765
95351,38954
95354,45417
95355,61570
95356,67415
95357,60071
95358,55422
95360,53471
95361,59827
95363,62445
95364,-
95365,40309
95366,81570
95367,64756
95368,72348
95369,47426
95370,55086
95372,77332
95374,44667
95375,-
95376,70501
95377,99411
95379,61801
95380,42786
95382,67416
95383,53929
95385,52708
95386,54386
95387,35708
95388,42740
95389,65096
95391,120196
95401,62244
95403,68550
95404,72272
95405,82274
95407,56192
95409,69660
95410,39048
95412,72102
95415,39044
95417,60909
95420,74974
95421,51838
95422,27161
95423,36292
95425,64199
95426,77714
95427,24000
95428,35288
95429,51250
95430,-
95431,-
95432,47955
95435,-
95436,59548
95437,46366
95439,59141
95441,74688
95442,82566
95443,17404
95444,59000
95445,48880
95446,55132
95448,78515
95449,50000
95450,56786
95451,51587
95452,85993
95453,44533
95454,32880
95456,42292
95457,48388
95458,31765
95459,52202
95460,51018
95461,45800
95462,43086
95463,-
95464,41250
95465,63036
95466,61250
95467,63079
95468,51595
95469,47176
95470,60428
95471,-
95472,78251
95476,72716
95482,46462
95485,37009
95486,-
95488,67500
95490,42326
95492,91077
95493,59718
95494,-
95497,76759
95501,40629
95503,51412
95511,-
95514,-
95519,52522
95521,34352
95524,70435
95525,50401
95526,29773
95527,37250
95528,54500
95531,41882
95536,49185
95537,-
95540,46527
95542,31458
95543,51477
95545,-
95546,25708
95547,66667
95548,32232
95549,61000
95550,-
95551,37155
95552,25388
95553,26120
95554,56944
95555,37656
95556,35469
95558,50313
95559,"2,500-"
95560,52169
95562,35061
95563,-
95564,36667
95565,40962
95567,46053
95568,43438
95569,29938
95570,56167
95571,32092
95573,37778
95585,27656
95587,-
95589,53063
95595,38500
95601,-
95602,67439
95603,62738
95604,138654
95605,42450
95606,51389
95607,67000
95608,58433
95610,54385
95612,84000
95614,102035
95615,57880
95616,50000
95618,85354
95619,60496
95620,74053
95621,54543
95623,62026
95624,89075
95625,57786
95626,58108
95627,61411
95628,76063
95629,72399
95630,106843
95631,76742
95632,68795
95633,73393
95634,50673
95635,39554
95636,47889
95637,-
95638,89306
95639,71500
95640,67647
95641,41979
95642,53357
95645,41607
95646,58125
95648,78716
95650,88729
95651,77759
95652,27208
95653,59583
95655,78375
95658,78790
95659,52153
95660,41116
95661,78119
95662,75554
95663,102826
95664,52788
95665,68388
95666,51801
95667,61623
95668,59583
95669,71307
95670,60733
95672,95524
95673,57715
95674,80909
95675,-
95677,81223
95678,65690
95679,-
95680,-
95681,39535
95682,81835
95683,103476
95684,56063
95685,60568
95686,38068
95687,77222
95688,82809
95689,60885
95690,55404
95691,69849
95692,69953
95693,85205
95694,74744
95695,59357
95697,-
95698,39706
95699,113300
95701,63438
95703,80650
95709,74213
95713,60256
95714,52778
95715,35000
95717,55227
95720,38750
95721,-
95722,80380
95724,-
95726,58806
95728,-
95735,-
95736,45238
95742,113718
95746,130063
95747,100036
95757,95316
95758,74473
95762,127862
95765,102030
95776,70720
95811,43175
95814,34017
95815,30831
95816,61618
95817,44130
95818,74444
95819,100611
95820,46083
95821,40969
95822,50687
95823,42182
95824,31888
95825,36615
95826,56772
95827,52431
95828,47909
95829,82601
95830,61500
95831,70552
95832,45126
95833,57481
95834,57296
95835,87794
95837,225000
95838,41970
95841,42133
95842,47705
95843,71041
95864,96643
95901,48478
95903,41042
95910,-
95912,65512
95914,50938
95915,-
95916,32188
95917,55112
95918,81696
95919,46333
95920,-
95922,38125
95923,-
95925,22794
95926,42939
95928,45967
95930,77917
95932,53342
95934,-
95935,-
95936,20139
95937,50552
95938,77206
95939,37500
95941,53327
95942,38224
95943,47383
95944,-
95945,44312
95946,63036
95947,39189
95948,46058
95949,61269
95950,43359
95951,45795
95953,53278
95954,46287
95955,60313
95956,67566
95957,53750
95959,62906
95960,33500
95961,51803
95962,-
95963,44380
95965,36250
95966,42529
95968,29926
95969,48311
95970,48177
95971,49150
95973,63029
95974,-
95975,52218
95977,58906
95978,-
95979,38056
95981,-
95982,82500
95983,78229
95984,-
95986,-
95987,58920
95988,51390
95991,44721
95993,64773
96001,48125
96002,46229
96003,48934
96006,51667
96007,41360
96008,54600
96009,65625
96010,40625
96011,17115
96013,39104
96014,42917
96015,40795
96016,-
96017,40000
96019,49911
96020,47941
96021,43336
96022,52049
96023,31420
96024,40938
96025,37361
96027,51115
96028,38548
96029,40972
96031,25536
96032,45143
96033,37750
96034,27500
96035,39639
96037,-
96038,39583
96039,33092
96040,44167
96041,30804
96044,39926
96046,-
96047,45909
96048,47813
96049,-
96050,28333
96051,40375
96052,34390
96054,35208
96055,44073
96056,55757
96057,47531
96058,35375
96059,36597
96061,103472
96062,63571
96063,49766
96064,45399
96065,43750
96067,39275
96068,-
96069,47750
96071,68542
96073,79940
96074,32500
96075,31875
96076,27361
96080,38740
96084,48750
96085,86875
96086,34500
96087,33836
96088,46553
96090,43500
96091,51429
96092,40948
96093,40718
96094,51726
96096,49545
96097,35443
96101,36450
96103,57450
96104,50469
96105,45959
96106,84107
96107,56719
96108,-
96109,39653
96110,55313
96111,-
96112,40417
96113,46397
96114,75250
96115,-
96116,-
96117,34306
96118,43695
96119,-
96120,62132
96121,85395
96122,44883
96123,35625
96124,-
96125,159167
96126,-
96128,57813
96129,-
96130,54702
96132,42917
96133,-
96134,39412
96135,-
96136,-
96137,51964
96140,51100
96141,54083
96142,81000
96143,47575
96145,71576
96146,73105
96148,70833
96150,53060
96155,-
96161,89091
97520,51476
97603,46125
97623,42448
97632,40536
97633,42611
97635,29318
